model,task,baseline_strategy,comparison_strategy,n_total_examples,correct_to_correct,correct_to_incorrect,incorrect_to_correct,incorrect_to_incorrect,missing,revision_success_rate,error_amplification_rate,net_gain_examples,net_gain_rate
claude,arc,self_refine_draft,self_refine_final,800,752.0,8.0,12.0,28.0,0.0,0.3,0.010526315789473684,4.0,0.005
claude,gsm8k,self_refine_draft,self_refine_final,800,769.0,3.0,5.0,23.0,0.0,0.17857142857142858,0.0038860103626943004,2.0,0.0025
claude,humaneval,self_refine_draft,self_refine_final,120,118.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
claude,truthfulqa,self_refine_draft,self_refine_final,800,615.0,63.0,14.0,108.0,0.0,0.11475409836065574,0.09292035398230089,-49.0,-0.06125
gpt,arc,self_refine_draft,self_refine_final,800,760.0,23.0,2.0,15.0,0.0,0.11764705882352941,0.02937420178799489,-21.0,-0.02625
gpt,gsm8k,self_refine_draft,self_refine_final,800,764.0,5.0,4.0,27.0,0.0,0.12903225806451613,0.006501950585175552,-1.0,-0.00125
gpt,humaneval,self_refine_draft,self_refine_final,120,118.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
gpt,truthfulqa,self_refine_draft,self_refine_final,800,633.0,44.0,17.0,106.0,0.0,0.13821138211382114,0.06499261447562776,-27.0,-0.03375
kimi,arc,self_refine_draft,self_refine_final,800,751.0,13.0,10.0,26.0,0.0,0.2777777777777778,0.017015706806282723,-3.0,-0.00375
kimi,gsm8k,self_refine_draft,self_refine_final,800,513.0,33.0,77.0,177.0,0.0,0.3031496062992126,0.06043956043956044,44.0,0.055
kimi,humaneval,self_refine_draft,self_refine_final,120,95.0,1.0,22.0,2.0,0.0,0.9166666666666666,0.010416666666666666,21.0,0.175
kimi,truthfulqa,self_refine_draft,self_refine_final,800,549.0,128.0,31.0,92.0,0.0,0.25203252032520324,0.18906942392909898,-97.0,-0.12125
llama,arc,self_refine_draft,self_refine_final,800,489.0,134.0,19.0,158.0,0.0,0.10734463276836158,0.21508828250401285,-115.0,-0.14375
llama,gsm8k,self_refine_draft,self_refine_final,800,214.0,22.0,153.0,411.0,0.0,0.2712765957446808,0.09322033898305085,131.0,0.16375
llama,humaneval,self_refine_draft,self_refine_final,120,14.0,17.0,4.0,85.0,0.0,0.0449438202247191,0.5483870967741935,-13.0,-0.10833333333333334
llama,truthfulqa,self_refine_draft,self_refine_final,800,223.0,123.0,10.0,444.0,0.0,0.022026431718061675,0.3554913294797688,-113.0,-0.14125
qwen,arc,self_refine_draft,self_refine_final,800,687.0,38.0,8.0,67.0,0.0,0.10666666666666667,0.05241379310344828,-30.0,-0.0375
qwen,gsm8k,self_refine_draft,self_refine_final,800,87.0,63.0,38.0,612.0,0.0,0.05846153846153846,0.42,-25.0,-0.03125
qwen,humaneval,self_refine_draft,self_refine_final,120,59.0,14.0,8.0,39.0,0.0,0.1702127659574468,0.1917808219178082,-6.0,-0.05
qwen,truthfulqa,self_refine_draft,self_refine_final,800,496.0,18.0,8.0,278.0,0.0,0.027972027972027972,0.03501945525291829,-10.0,-0.0125
