model,task,baseline_strategy,comparison_strategy,n_total_examples,correct_to_correct,correct_to_incorrect,incorrect_to_correct,incorrect_to_incorrect,revision_success_rate,error_amplification_rate,net_gain_examples,net_gain_rate
claude,arc,single_pass,best_of_n,200,187.0,0.0,1.0,12.0,0.07692307692307693,0.0,1.0,0.005
claude,gsm8k,single_pass,best_of_n,200,193.0,0.0,1.0,6.0,0.14285714285714285,0.0,1.0,0.005
claude,humaneval,single_pass,best_of_n,40,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
claude,truthfulqa,single_pass,best_of_n,200,168.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
gpt,arc,single_pass,best_of_n,200,191.0,1.0,3.0,5.0,0.375,0.005208333333333333,2.0,0.01
gpt,gsm8k,single_pass,best_of_n,200,191.0,2.0,2.0,5.0,0.2857142857142857,0.010362694300518135,0.0,0.0
gpt,humaneval,single_pass,best_of_n,40,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gpt,truthfulqa,single_pass,best_of_n,200,165.0,2.0,5.0,28.0,0.15151515151515152,0.011976047904191617,3.0,0.015
kimi,arc,single_pass,best_of_n,200,188.0,3.0,1.0,8.0,0.1111111111111111,0.015706806282722512,-2.0,-0.01
kimi,gsm8k,single_pass,best_of_n,200,132.0,14.0,25.0,29.0,0.46296296296296297,0.0958904109589041,11.0,0.055
kimi,humaneval,single_pass,best_of_n,40,32.0,2.0,2.0,4.0,0.3333333333333333,0.058823529411764705,0.0,0.0
kimi,truthfulqa,single_pass,best_of_n,200,169.0,7.0,1.0,23.0,0.041666666666666664,0.03977272727272727,-6.0,-0.03
llama,arc,single_pass,best_of_n,200,159.0,5.0,5.0,31.0,0.1388888888888889,0.03048780487804878,0.0,0.0
llama,gsm8k,single_pass,best_of_n,200,39.0,27.0,16.0,118.0,0.11940298507462686,0.4090909090909091,-11.0,-0.055
llama,humaneval,single_pass,best_of_n,40,8.0,1.0,3.0,28.0,0.0967741935483871,0.1111111111111111,2.0,0.05
llama,truthfulqa,single_pass,best_of_n,200,75.0,9.0,4.0,112.0,0.034482758620689655,0.10714285714285714,-5.0,-0.025
qwen,arc,single_pass,best_of_n,200,180.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
qwen,gsm8k,single_pass,best_of_n,200,41.0,3.0,4.0,152.0,0.02564102564102564,0.06818181818181818,1.0,0.005
qwen,humaneval,single_pass,best_of_n,40,25.0,2.0,6.0,7.0,0.46153846153846156,0.07407407407407407,4.0,0.1
qwen,truthfulqa,single_pass,best_of_n,200,132.0,3.0,0.0,65.0,0.0,0.022222222222222223,-3.0,-0.015
