group_level,task,model,strategy,n_examples,total_correct,total_tokens,accuracy_mean,token_usage_mean,tokens_per_correct,accuracy_per_1000_tokens
model,,claude,best_of_n,2520,2329.0,972369.0,0.9242063492063493,385.86071428571427,417.50493774151994,2.395181253207373
model,,claude,oracle,2400,2305.0,596078.0,0.9604166666666667,248.36583333333334,258.60216919739696,3.866943587919702
model,,claude,self_refine,2520,2285.0,1647256.0,0.9067460317460317,653.6730158730159,720.8997811816192,1.3871553662575824
model,,claude,single_pass,2520,2324.0,324231.0,0.9222222222222223,128.66309523809525,139.5141996557659,7.167729180738425
model,,gpt,best_of_n,2520,2341.0,1222210.0,0.928968253968254,485.00396825396825,522.0888509184109,1.9153827901915383
model,,gpt,oracle,2400,2311.0,753169.0,0.9629166666666666,313.8204166666667,325.906101254868,3.068368453826432
model,,gpt,self_refine,2520,2298.0,1674312.0,0.9119047619047619,664.4095238095238,728.5953002610966,1.37250404942448
model,,gpt,single_pass,2520,2340.0,407381.0,0.9285714285714286,161.65912698412697,174.09444444444443,5.744008679835338
model,,kimi,best_of_n,2520,2143.0,855865.0,0.8503968253968254,339.62896825396825,399.3770415305646,2.5038995635993992
model,,kimi,oracle,2400,2165.0,533628.0,0.9020833333333333,222.345,246.47944572748267,4.057133433777837
model,,kimi,self_refine,2520,2048.0,1437318.0,0.8126984126984127,570.3642857142858,701.8154296875,1.42487605387256
model,,kimi,single_pass,2520,2114.0,285805.0,0.8388888888888889,113.41468253968254,135.19631031220436,7.396651563128707
model,,llama,best_of_n,2520,1227.0,820338.0,0.4869047619047619,325.5309523809524,668.5721271393643,1.4957249328935145
model,,llama,oracle,2400,1408.0,538442.0,0.5866666666666667,224.35083333333333,382.4161931818182,2.614952028259311
model,,llama,self_refine,2520,1126.0,1432050.0,0.44682539682539685,568.2738095238095,1271.802841918295,0.7862853950630215
model,,llama,single_pass,2520,1266.0,274427.0,0.5023809523809524,108.89960317460317,216.76698262243286,4.613248696374628
model,,qwen,best_of_n,2520,1461.0,914150.0,0.5797619047619048,362.7579365079365,625.7015742642026,1.5982059837007057
model,,qwen,oracle,2400,1512.0,588827.0,0.63,245.34458333333333,389.4358465608466,2.5678170328466594
model,,qwen,self_refine,2520,1391.0,1402376.0,0.551984126984127,556.4984126984127,1008.1782890007189,0.9918880528474532
model,,qwen,single_pass,2520,1463.0,304653.0,0.5805555555555556,120.89404761904763,208.23855092276145,4.8021847807177345
model_task,arc,claude,best_of_n,800,760.0,235698.0,0.95,294.6225,310.12894736842105,3.224465205474803
model_task,arc,claude,oracle,800,776.0,159194.0,0.97,198.9925,205.14690721649484,4.874555573702526
model_task,arc,claude,self_refine,800,764.0,447266.0,0.955,559.0825,585.4267015706806,1.7081557730746355
model_task,arc,claude,single_pass,800,759.0,78534.0,0.94875,98.1675,103.4703557312253,9.664603865841547
model_task,gsm8k,claude,best_of_n,800,777.0,357581.0,0.97125,446.97625,460.2072072072072,2.1729342442691304
model_task,gsm8k,claude,oracle,800,789.0,241995.0,0.98625,302.49375,306.71102661596956,3.260397942106242
model_task,gsm8k,claude,self_refine,800,774.0,564195.0,0.9675,705.24375,728.9341085271318,1.3718661101215004
model_task,gsm8k,claude,single_pass,800,773.0,119341.0,0.96625,149.17625,154.38680465717982,6.477237495915067
model_task,humaneval,claude,best_of_n,120,118.0,95248.0,0.9833333333333333,793.7333333333333,807.1864406779661,1.2388711573996303
model_task,humaneval,claude,self_refine,120,118.0,131585.0,0.9833333333333333,1096.5416666666667,1115.1271186440679,0.8967587490975415
model_task,humaneval,claude,single_pass,120,118.0,31757.0,0.9833333333333333,264.64166666666665,269.1271186440678,3.715716220045974
model_task,truthfulqa,claude,best_of_n,800,674.0,283842.0,0.8425,354.8025,421.1305637982196,2.374560494923232
model_task,truthfulqa,claude,oracle,800,740.0,194889.0,0.925,243.61125,263.3635135135135,3.7970331829913437
model_task,truthfulqa,claude,self_refine,800,629.0,504210.0,0.78625,630.2625,801.6057233704292,1.2474960829812975
model_task,truthfulqa,claude,single_pass,800,674.0,94599.0,0.8425,118.24875,140.3545994065282,7.124811044514213
model_task,arc,gpt,best_of_n,800,780.0,299490.0,0.975,374.3625,383.96153846153845,2.6044275267955523
model_task,arc,gpt,oracle,800,792.0,201638.0,0.99,252.0475,254.59343434343435,3.927831063589205
model_task,arc,gpt,self_refine,800,762.0,465444.0,0.9525,581.805,610.8188976377953,1.6371464665996338
model_task,arc,gpt,single_pass,800,780.0,99280.0,0.975,124.1,127.28205128205128,7.856567284448026
