model,task,baseline_strategy,comparison_strategy,n_total_examples,correct_to_correct,correct_to_incorrect,incorrect_to_correct,incorrect_to_incorrect,revision_success_rate,error_amplification_rate,net_gain_examples,net_gain_rate
claude,arc,single_pass,best_of_n,800,759.0,0.0,1.0,40.0,0.024390243902439025,0.0,1.0,0.00125
claude,gsm8k,single_pass,best_of_n,800,773.0,0.0,4.0,23.0,0.14814814814814814,0.0,4.0,0.005
claude,humaneval,single_pass,best_of_n,120,118.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
claude,truthfulqa,single_pass,best_of_n,800,669.0,5.0,5.0,121.0,0.03968253968253968,0.00741839762611276,0.0,0.0
gpt,arc,single_pass,best_of_n,800,775.0,5.0,5.0,15.0,0.25,0.00641025641025641,0.0,0.0
gpt,gsm8k,single_pass,best_of_n,800,767.0,3.0,6.0,24.0,0.2,0.003896103896103896,3.0,0.00375
gpt,humaneval,single_pass,best_of_n,120,118.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gpt,truthfulqa,single_pass,best_of_n,800,653.0,19.0,17.0,111.0,0.1328125,0.028273809523809524,-2.0,-0.0025
kimi,arc,single_pass,best_of_n,800,757.0,13.0,3.0,27.0,0.1,0.016883116883116882,-10.0,-0.0125
kimi,gsm8k,single_pass,best_of_n,800,521.0,37.0,90.0,152.0,0.371900826446281,0.06630824372759857,53.0,0.06625
kimi,humaneval,single_pass,best_of_n,120,95.0,4.0,12.0,9.0,0.5714285714285714,0.04040404040404041,8.0,0.06666666666666667
kimi,truthfulqa,single_pass,best_of_n,800,661.0,26.0,4.0,109.0,0.035398230088495575,0.03784570596797671,-22.0,-0.0275
llama,arc,single_pass,best_of_n,800,611.0,15.0,16.0,158.0,0.09195402298850575,0.023961661341853034,1.0,0.00125
llama,gsm8k,single_pass,best_of_n,800,175.0,90.0,57.0,478.0,0.10654205607476636,0.33962264150943394,-33.0,-0.04125
llama,humaneval,single_pass,best_of_n,120,19.0,10.0,14.0,77.0,0.15384615384615385,0.3448275862068966,4.0,0.03333333333333333
llama,truthfulqa,single_pass,best_of_n,800,320.0,26.0,15.0,439.0,0.03303964757709251,0.07514450867052024,-11.0,-0.01375
qwen,arc,single_pass,best_of_n,800,722.0,1.0,1.0,76.0,0.012987012987012988,0.0013831258644536654,0.0,0.0
qwen,gsm8k,single_pass,best_of_n,800,128.0,16.0,16.0,640.0,0.024390243902439025,0.1111111111111111,0.0,0.0
qwen,humaneval,single_pass,best_of_n,120,77.0,2.0,11.0,30.0,0.2682926829268293,0.02531645569620253,9.0,0.075
qwen,truthfulqa,single_pass,best_of_n,800,504.0,13.0,2.0,281.0,0.007067137809187279,0.025145067698259187,-11.0,-0.01375
