model,task,baseline_strategy,comparison_strategy,n_total_examples,correct_to_correct,correct_to_incorrect,incorrect_to_correct,incorrect_to_incorrect,revision_success_rate,error_amplification_rate,net_gain_examples,net_gain_rate
claude,arc,single_pass,self_refine,200,185.0,2.0,4.0,9.0,0.3076923076923077,0.0106951871657754,2.0,0.01
claude,gsm8k,single_pass,self_refine,200,192.0,1.0,2.0,5.0,0.2857142857142857,0.0051813471502590676,1.0,0.005
claude,humaneval,single_pass,self_refine,40,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
claude,truthfulqa,single_pass,self_refine,200,156.0,12.0,5.0,27.0,0.15625,0.07142857142857142,-7.0,-0.035
gpt,arc,single_pass,self_refine,200,188.0,4.0,1.0,7.0,0.125,0.020833333333333332,-3.0,-0.015
gpt,gsm8k,single_pass,self_refine,200,191.0,2.0,1.0,6.0,0.14285714285714285,0.010362694300518135,-1.0,-0.005
gpt,humaneval,single_pass,self_refine,40,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
gpt,truthfulqa,single_pass,self_refine,200,153.0,14.0,7.0,26.0,0.21212121212121213,0.08383233532934131,-7.0,-0.035
kimi,arc,single_pass,self_refine,200,188.0,3.0,2.0,7.0,0.2222222222222222,0.015706806282722512,-1.0,-0.005
kimi,gsm8k,single_pass,self_refine,200,130.0,16.0,24.0,30.0,0.4444444444444444,0.1095890410958904,8.0,0.04
kimi,humaneval,single_pass,self_refine,40,34.0,0.0,5.0,1.0,0.8333333333333334,0.0,5.0,0.125
kimi,truthfulqa,single_pass,self_refine,200,139.0,37.0,8.0,16.0,0.3333333333333333,0.21022727272727273,-29.0,-0.145
llama,arc,single_pass,self_refine,200,124.0,40.0,3.0,33.0,0.08333333333333333,0.24390243902439024,-37.0,-0.185
llama,gsm8k,single_pass,self_refine,200,40.0,26.0,53.0,81.0,0.39552238805970147,0.3939393939393939,27.0,0.135
llama,humaneval,single_pass,self_refine,40,4.0,5.0,0.0,31.0,0.0,0.5555555555555556,-5.0,-0.125
llama,truthfulqa,single_pass,self_refine,200,51.0,33.0,3.0,113.0,0.02586206896551724,0.39285714285714285,-30.0,-0.15
qwen,arc,single_pass,self_refine,200,172.0,8.0,0.0,20.0,0.0,0.044444444444444446,-8.0,-0.04
qwen,gsm8k,single_pass,self_refine,200,23.0,21.0,11.0,145.0,0.07051282051282051,0.4772727272727273,-10.0,-0.05
qwen,humaneval,single_pass,self_refine,40,19.0,8.0,3.0,10.0,0.23076923076923078,0.2962962962962963,-5.0,-0.125
qwen,truthfulqa,single_pass,self_refine,200,129.0,6.0,3.0,62.0,0.046153846153846156,0.044444444444444446,-3.0,-0.015
