group_level,comparison,model,task,n_examples,baseline_accuracy,comparison_accuracy,accuracy_diff,ci_lower,ci_upper,ci_excludes_zero
model,best_of_n_vs_single_pass,claude,,2520,0.9222222222222223,0.9242063492063493,0.001984126984126977,-0.0008035714285715306,0.00515873015873014,False
model,best_of_n_vs_single_pass,gpt,,2520,0.9285714285714286,0.928968253968254,0.0003968253968253954,-0.005555555555555536,0.005952380952381042,False
model,best_of_n_vs_single_pass,kimi,,2520,0.8388888888888889,0.8503968253968254,0.011507936507936467,0.0007936507936507908,0.022222222222222254,True
model,best_of_n_vs_single_pass,llama,,2520,0.5023809523809524,0.4869047619047619,-0.015476190476190477,-0.027777777777777735,-0.0035714285714285587,True
model,best_of_n_vs_single_pass,qwen,,2520,0.5805555555555556,0.5797619047619048,-0.0007936507936507908,-0.006746031746031833,0.005555555555555536,False
model_task,best_of_n_vs_single_pass,claude,arc,800,0.94875,0.95,0.0012499999999999734,0.0,0.003750000000000031,False
model_task,best_of_n_vs_single_pass,claude,gsm8k,800,0.96625,0.97125,0.004999999999999893,0.0012499999999999734,0.010000000000000009,True
model_task,best_of_n_vs_single_pass,claude,humaneval,120,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,False
model_task,best_of_n_vs_single_pass,claude,truthfulqa,800,0.8425,0.8425,0.0,-0.007500000000000062,0.007500000000000062,False
model_task,best_of_n_vs_single_pass,gpt,arc,800,0.975,0.975,0.0,-0.007500000000000062,0.007500000000000062,False
model_task,best_of_n_vs_single_pass,gpt,gsm8k,800,0.9625,0.96625,0.003750000000000031,-0.00374999999999992,0.011249999999999982,False
model_task,best_of_n_vs_single_pass,gpt,humaneval,120,0.9833333333333333,0.9833333333333333,0.0,0.0,0.0,False
model_task,best_of_n_vs_single_pass,gpt,truthfulqa,800,0.84,0.8375,-0.0024999999999999467,-0.01749999999999996,0.012500000000000067,False
model_task,best_of_n_vs_single_pass,kimi,arc,800,0.9625,0.95,-0.012500000000000067,-0.022500000000000075,-0.00374999999999992,True
model_task,best_of_n_vs_single_pass,kimi,gsm8k,800,0.6975,0.76375,0.06625000000000003,0.03996874999999994,0.09375,True
model_task,best_of_n_vs_single_pass,kimi,humaneval,120,0.825,0.8916666666666667,0.06666666666666676,0.0,0.1333333333333333,False
model_task,best_of_n_vs_single_pass,kimi,truthfulqa,800,0.85875,0.83125,-0.02749999999999997,-0.04125000000000001,-0.01500000000000001,True
model_task,best_of_n_vs_single_pass,llama,arc,800,0.7825,0.78375,0.0012499999999999734,-0.012499999999999956,0.015000000000000013,False
model_task,best_of_n_vs_single_pass,llama,gsm8k,800,0.33125,0.29,-0.04125000000000001,-0.07124999999999998,-0.01371875000000044,True
model_task,best_of_n_vs_single_pass,llama,humaneval,120,0.24166666666666667,0.275,0.033333333333333354,-0.041666666666666685,0.11666666666666664,False
model_task,best_of_n_vs_single_pass,llama,truthfulqa,800,0.4325,0.41875,-0.013749999999999984,-0.02999999999999997,0.0012499999999999734,False
model_task,best_of_n_vs_single_pass,qwen,arc,800,0.90375,0.90375,0.0,-0.003750000000000031,0.003750000000000031,False
model_task,best_of_n_vs_single_pass,qwen,gsm8k,800,0.18,0.18,0.0,-0.013750000000000012,0.013750000000000012,False
model_task,best_of_n_vs_single_pass,qwen,humaneval,120,0.6583333333333333,0.7333333333333333,0.07499999999999996,0.01666666666666672,0.1333333333333333,True
model_task,best_of_n_vs_single_pass,qwen,truthfulqa,800,0.64625,0.6325,-0.01375000000000004,-0.02374999999999994,-0.0050000000000000044,True
model,oracle_vs_single_pass,claude,,2400,0.9191666666666667,0.9604166666666667,0.04125000000000001,0.033333333333333326,0.04958333333333331,True
model,oracle_vs_single_pass,gpt,,2400,0.9258333333333333,0.9629166666666666,0.03708333333333336,0.029166666666666674,0.04541666666666666,True
