model,task,example_id,baseline_strategy,comparison_strategy,baseline_run_dir,comparison_run_dir,baseline_score_int,comparison_score_int,baseline_output,comparison_output,transition_label,gold,pred,run_dir
claude,arc,0,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,C,C,correct_to_correct,C,C,run_20260315_043659
claude,arc,1,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,B,B,correct_to_correct,B,B,run_20260315_043659
claude,arc,10,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,B,B,correct_to_correct,B,B,run_20260315_043659
claude,arc,100,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,C,C,correct_to_correct,C,C,run_20260315_043659
claude,arc,101,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,D,D,correct_to_correct,D,D,run_20260315_043659
claude,arc,102,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,A,A,correct_to_correct,A,A,run_20260315_043659
claude,arc,103,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,B,B,correct_to_correct,B,B,run_20260315_043659
claude,arc,104,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,C,C,correct_to_correct,C,C,run_20260315_043659
claude,arc,105,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,B,B,correct_to_correct,B,B,run_20260315_043659
claude,arc,106,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,D,D,correct_to_correct,D,D,run_20260315_043659
claude,arc,107,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,B,B,correct_to_correct,B,B,run_20260315_043659
claude,arc,108,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,D,D,correct_to_correct,D,D,run_20260315_043659
claude,arc,109,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,A,A,correct_to_correct,A,A,run_20260315_043659
claude,arc,11,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,A,A,correct_to_correct,A,A,run_20260315_043659
claude,arc,110,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,A,A,correct_to_correct,A,A,run_20260315_043659
claude,arc,111,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,A,A,correct_to_correct,A,A,run_20260315_043659
claude,arc,112,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,A,A,correct_to_correct,A,A,run_20260315_043659
claude,arc,113,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,A,A,correct_to_correct,A,A,run_20260315_043659
claude,arc,114,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,B,B,correct_to_correct,B,B,run_20260315_043659
claude,arc,115,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,D,D,correct_to_correct,D,D,run_20260315_043659
claude,arc,116,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,B,B,correct_to_correct,B,B,run_20260315_043659
claude,arc,117,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,C,C,correct_to_correct,C,C,run_20260315_043659
claude,arc,118,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,D,D,correct_to_correct,D,D,run_20260315_043659
claude,arc,119,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,C,C,correct_to_correct,C,C,run_20260315_043659
claude,arc,12,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,C,C,correct_to_correct,C,C,run_20260315_043659
claude,arc,120,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,A,A,correct_to_correct,A,A,run_20260315_043659
claude,arc,121,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,A,A,correct_to_correct,A,A,run_20260315_043659
claude,arc,122,self_refine_draft,self_refine_final,run_20260315_043659,run_20260315_043659,1,1,D,D,correct_to_correct,D,D,run_20260315_043659
