model,task,baseline_strategy,comparison_strategy,n_total_examples,correct_to_correct,correct_to_incorrect,incorrect_to_correct,incorrect_to_incorrect,revision_success_rate,error_amplification_rate,net_gain_examples,net_gain_rate
claude,arc,single_pass,self_refine,800,751.0,8.0,13.0,28.0,0.3170731707317073,0.010540184453227932,5.0,0.00625
claude,gsm8k,single_pass,self_refine,800,767.0,6.0,7.0,20.0,0.25925925925925924,0.007761966364812419,1.0,0.00125
claude,humaneval,single_pass,self_refine,120,118.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
claude,truthfulqa,single_pass,self_refine,800,612.0,62.0,17.0,109.0,0.1349206349206349,0.09198813056379822,-45.0,-0.05625
gpt,arc,single_pass,self_refine,800,760.0,20.0,2.0,18.0,0.1,0.02564102564102564,-18.0,-0.0225
gpt,gsm8k,single_pass,self_refine,800,763.0,7.0,5.0,25.0,0.16666666666666666,0.00909090909090909,-2.0,-0.0025
gpt,humaneval,single_pass,self_refine,120,118.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
gpt,truthfulqa,single_pass,self_refine,800,631.0,41.0,19.0,109.0,0.1484375,0.06101190476190476,-22.0,-0.0275
kimi,arc,single_pass,self_refine,800,752.0,18.0,9.0,21.0,0.3,0.023376623376623377,-9.0,-0.01125
kimi,gsm8k,single_pass,self_refine,800,484.0,74.0,106.0,136.0,0.4380165289256198,0.13261648745519714,32.0,0.04
kimi,humaneval,single_pass,self_refine,120,98.0,1.0,19.0,2.0,0.9047619047619048,0.010101010101010102,18.0,0.15
kimi,truthfulqa,single_pass,self_refine,800,553.0,134.0,27.0,86.0,0.23893805309734514,0.1950509461426492,-107.0,-0.13375
llama,arc,single_pass,self_refine,800,486.0,140.0,22.0,152.0,0.12643678160919541,0.22364217252396165,-118.0,-0.1475
llama,gsm8k,single_pass,self_refine,800,181.0,84.0,186.0,349.0,0.34766355140186916,0.3169811320754717,102.0,0.1275
llama,humaneval,single_pass,self_refine,120,12.0,17.0,6.0,85.0,0.06593406593406594,0.5862068965517241,-11.0,-0.09166666666666666
llama,truthfulqa,single_pass,self_refine,800,219.0,127.0,14.0,440.0,0.030837004405286344,0.3670520231213873,-113.0,-0.14125
qwen,arc,single_pass,self_refine,800,685.0,38.0,10.0,67.0,0.12987012987012986,0.05255878284923928,-28.0,-0.035
qwen,gsm8k,single_pass,self_refine,800,76.0,68.0,49.0,607.0,0.07469512195121951,0.4722222222222222,-19.0,-0.02375
qwen,humaneval,single_pass,self_refine,120,55.0,24.0,12.0,29.0,0.2926829268292683,0.3037974683544304,-12.0,-0.1
qwen,truthfulqa,single_pass,self_refine,800,492.0,25.0,12.0,271.0,0.04240282685512368,0.048355899419729204,-13.0,-0.01625
