model,strategy,task,n_examples,n_runs,accuracy_mean,accuracy_median,latency_mean_s,latency_median_s,token_usage_mean,token_usage_median
claude,best_of_n,arc,800,2,0.95,1.0,3.444885637164116,2.974543809890747,294.6225,276.0
claude,oracle,arc,800,2,0.97,1.0,0.9836453396081924,0.762932300567627,198.9925,187.0
claude,self_refine,arc,800,2,0.955,1.0,3.395376518368721,3.1344879865646362,559.0825,536.0
claude,single_pass,arc,800,2,0.94875,1.0,0.8797535747289658,0.685491681098938,98.1675,92.0
claude,best_of_n,gsm8k,800,2,0.97125,1.0,6.227667424976826,5.2042118310928345,446.97625,419.0
claude,oracle,gsm8k,800,2,0.98625,1.0,1.8236220628023148,1.5734096765518188,302.49375,283.0
claude,self_refine,gsm8k,800,2,0.9675,1.0,3.938419932723045,3.725837469100952,705.24375,680.0
claude,single_pass,gsm8k,800,2,0.96625,1.0,1.6700058010220529,1.5739775896072388,149.17625,140.0
claude,best_of_n,humaneval,120,2,0.9833333333333333,1.0,6.560667594273885,6.332841634750366,793.7333333333333,756.0
claude,self_refine,humaneval,120,2,0.9833333333333333,1.0,5.448190838098526,5.054240942001343,1096.5416666666667,1046.0
claude,single_pass,humaneval,120,2,0.9833333333333333,1.0,1.9279054264227549,1.8356715440750122,264.64166666666665,253.5
claude,best_of_n,truthfulqa,800,2,0.8425,1.0,5.690465603172779,5.468027830123901,354.8025,336.0
claude,oracle,truthfulqa,800,2,0.925,1.0,1.5229449579119683,1.3078460693359375,243.61125,230.0
claude,self_refine,truthfulqa,800,2,0.78625,1.0,5.454660554528236,5.098050475120544,630.2625,606.0
claude,single_pass,truthfulqa,800,2,0.8425,1.0,1.0185030695796014,0.9200854301452637,118.24875,112.0
gpt,best_of_n,arc,800,2,0.975,1.0,6.025470248162747,5.066022276878357,374.3625,347.0
gpt,oracle,arc,800,2,0.99,1.0,1.3752083232998848,1.1601868867874146,252.0475,234.0
gpt,self_refine,arc,800,2,0.9525,1.0,4.447074009180069,4.152550458908081,581.805,560.0
gpt,single_pass,arc,800,2,0.975,1.0,1.3369175869226455,1.1647675037384033,124.1,115.0
gpt,best_of_n,gsm8k,800,2,0.96625,1.0,7.842129918336869,7.150407314300537,536.69625,486.0
gpt,oracle,gsm8k,800,2,0.98125,1.0,2.587477987110615,1.7765100002288818,365.54125,319.0
gpt,self_refine,gsm8k,800,2,0.96,1.0,5.721842201054097,5.218176603317261,662.51875,622.0
gpt,single_pass,gsm8k,800,2,0.9625,1.0,2.0385244247317313,1.7393873929977417,179.54625,158.0
gpt,best_of_n,humaneval,120,2,0.9833333333333333,1.0,9.294022476673126,7.814089059829712,955.9666666666667,885.5
gpt,self_refine,humaneval,120,2,0.9833333333333333,1.0,6.172645646333694,5.432464361190796,1179.5916666666667,1116.0
gpt,single_pass,humaneval,120,2,0.9833333333333333,1.0,2.2249242683251698,1.7929731607437134,322.7,280.0
gpt,best_of_n,truthfulqa,800,2,0.8375,1.0,6.093398792147636,5.498920679092407,473.30875,438.0
gpt,oracle,truthfulqa,800,2,0.9175,1.0,1.8713876137137413,1.3465131521224976,323.8725,301.0
gpt,self_refine,truthfulqa,800,2,0.8125,1.0,4.950320069789886,4.482726812362671,671.6275,639.0
gpt,single_pass,truthfulqa,800,2,0.84,1.0,1.502061097919941,1.3089210987091064,157.175,146.5
kimi,best_of_n,arc,800,2,0.95,1.0,3.1896226996183397,2.304295778274536,289.94,273.0
kimi,oracle,arc,800,2,0.9825,1.0,0.8833440238237381,0.5594488382339478,194.02125,184.0
kimi,self_refine,arc,800,2,0.95125,1.0,2.5706224447488784,2.1557371616363525,511.3425,496.0
kimi,single_pass,arc,800,2,0.9625,1.0,0.9061555090546608,0.5188994407653809,96.60875,91.0
kimi,best_of_n,gsm8k,800,2,0.76375,1.0,4.368657996356487,3.1858733892440796,335.1175,292.0
kimi,oracle,gsm8k,800,2,0.82,1.0,1.6118961754441261,1.1023417711257935,246.7025,209.0
kimi,self_refine,gsm8k,800,2,0.7375,1.0,3.5921726417541504,2.8280608654022217,574.83625,521.0
kimi,single_pass,gsm8k,800,2,0.6975,1.0,1.1101086342334747,0.731853723526001,112.55625,93.0
kimi,best_of_n,humaneval,120,2,0.8916666666666667,1.0,10.455687556664149,8.612800002098083,763.65,711.0
kimi,self_refine,humaneval,120,2,0.975,1.0,4.152653350432714,3.416917562484741,1026.925,957.5
kimi,single_pass,humaneval,120,2,0.825,1.0,2.42303803563118,1.2324951887130737,253.425,237.0
